hostname_check-hostname-check-6-1  | 2023-07-11 16:02:31,046 - WARNING - script started
hostname_check-hostname-check-6-1  | 2023-07-11 16:02:31,047 - INFO - Waiting 0 seconds before starting
hostname_check-hostname-check-6-1  | 2023-07-11 16:02:31,052 - INFO - hostname-check-1 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-6-1  | 2023-07-11 16:02:31,052 - INFO - hostname-check-2 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-6-1  | 2023-07-11 16:02:31,052 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-4-1  | 2023-07-11 16:02:30,487 - WARNING - script started
hostname_check-hostname-check-4-1  | 2023-07-11 16:02:30,487 - INFO - Waiting 0 seconds before starting
hostname_check-hostname-check-4-1  | 2023-07-11 16:02:30,493 - INFO - hostname-check-4 was resolved to ['172.31.0.2', '172.31.0.2', '172.31.0.2']
hostname_check-hostname-check-4-1  | 2023-07-11 16:02:30,493 - INFO - hostname-check-6 was resolved to ['172.31.0.3', '172.31.0.3', '172.31.0.3']
hostname_check-hostname-check-4-1  | 2023-07-11 16:02:30,493 - WARNING - Checked 2 hostnames, 2 were successful, 0 failed
hostname_check-hostname-check-4-1  | 2023-07-11 16:02:30,493 - INFO - Sleeping for 9.994107484817505 seconds
hostname_check-hostname-check-4-1  | 2023-07-11 16:02:39,495 - INFO - hostname-check-4 was resolved to ['172.31.0.2', '172.31.0.2', '172.31.0.2']
hostname_check-hostname-check-4-1  | 2023-07-11 16:02:39,496 - INFO - hostname-check-6 was resolved to ['172.31.0.3', '172.31.0.3', '172.31.0.3']
hostname_check-hostname-check-4-1  | 2023-07-11 16:02:39,497 - WARNING - Checked 2 hostnames, 2 were successful, 0 failed
hostname_check-hostname-check-4-1  | 2023-07-11 16:02:39,497 - INFO - Sleeping for 9.997731685638428 seconds
hostname_check-hostname-check-4-1  | 2023-07-11 16:02:48,499 - INFO - hostname-check-4 was resolved to ['172.31.0.2', '172.31.0.2', '172.31.0.2']
hostname_check-hostname-check-5-1  | 2023-07-11 16:02:30,485 - WARNING - script started
hostname_check-hostname-check-5-1  | 2023-07-11 16:02:30,486 - INFO - Waiting 0 seconds before starting
hostname_check-hostname-check-5-1  | 2023-07-11 16:02:30,491 - INFO - hostname-check-1 was resolved to ['172.29.0.10', '172.29.0.10', '172.29.0.10']
hostname_check-hostname-check-5-1  | 2023-07-11 16:02:30,491 - INFO - hostname-check-2 was resolved to ['172.29.0.8', '172.29.0.8', '172.29.0.8']
hostname_check-hostname-check-5-1  | 2023-07-11 16:02:30,491 - INFO - hostname-check-5 was resolved to ['172.29.0.7', '172.29.0.7', '172.29.0.7']
hostname_check-hostname-check-5-1  | 2023-07-11 16:02:30,492 - WARNING - hostname-check-3 was not resolved
hostname_check-hostname-check-5-1  | 2023-07-11 16:02:30,492 - INFO - hostname-check-5 was resolved to ['172.29.0.7', '172.29.0.7', '172.29.0.7']
hostname_check-hostname-check-5-1  | 2023-07-11 16:02:30,492 - ERROR - Checked 5 hostnames, 4 were successful, 1 failed
hostname_check-hostname-check-5-1  | 2023-07-11 16:02:30,492 - INFO - Sleeping for 9.993298530578613 seconds
hostname_check-hostname-check-5-1  | 2023-07-11 16:02:39,494 - INFO - hostname-check-1 was resolved to ['172.29.0.10', '172.29.0.10', '172.29.0.10']
hostname_check-hostname-check-5-1  | 2023-07-11 16:02:39,495 - INFO - hostname-check-2 was resolved to ['172.29.0.8', '172.29.0.8', '172.29.0.8']
hostname_check-hostname-check-5-1  | 2023-07-11 16:02:39,496 - INFO - hostname-check-5 was resolved to ['172.29.0.7', '172.29.0.7', '172.29.0.7']
