hostname_check-hostname-check-1-1  | 2023-07-11 16:00:44,584 - WARNING - script started
hostname_check-hostname-check-1-1  | 2023-07-11 16:00:44,585 - INFO - Waiting 0 seconds before starting
hostname_check-hostname-check-1-1  | 2023-07-11 16:00:44,590 - INFO - hostname-check-1 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-1-1  | 2023-07-11 16:00:44,590 - INFO - hostname-check-2 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-1-1  | 2023-07-11 16:00:44,590 - INFO - hostname-check-6 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-1-1  | 2023-07-11 16:00:44,591 - INFO - hostname-check-1 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-1-1  | 2023-07-11 16:00:44,591 - INFO - hostname-check-2 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-1-1  | 2023-07-11 16:00:44,591 - INFO - hostname-check-5 was resolved to ['172.29.0.7', '172.29.0.7', '172.29.0.7']
hostname_check-hostname-check-1-1  | 2023-07-11 16:00:44,591 - WARNING - Checked 6 hostnames, 6 were successful, 0 failed
hostname_check-hostname-check-1-1  | 2023-07-11 16:00:44,591 - INFO - Sleeping for 9.993912696838379 seconds
hostname_check-hostname-check-1-1  | 2023-07-11 16:00:53,593 - INFO - hostname-check-1 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-1-1  | 2023-07-11 16:00:53,594 - INFO - hostname-check-2 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-1-1  | 2023-07-11 16:00:53,595 - INFO - hostname-check-6 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-1-1  | 2023-07-11 16:00:53,596 - INFO - hostname-check-1 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-1-1  | 2023-07-11 16:00:53,596 - INFO - hostname-check-2 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-1-1  | 2023-07-11 16:00:53,597 - INFO - hostname-check-5 was resolved to ['172.29.0.7', '172.29.0.7', '172.29.0.7']
hostname_check-hostname-check-1-1  | 2023-07-11 16:00:53,597 - WARNING - Checked 6 hostnames, 6 were successful, 0 failed
hostname_check-hostname-check-1-1  | 2023-07-11 16:00:53,598 - INFO - Sleeping for 9.99492883682251 seconds
hostname_check-hostname-check-1-1  | 2023-07-11 16:01:02,600 - INFO - hostname-check-1 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-1-1  | 2023-07-11 16:01:02,601 - INFO - hostname-check-2 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-1-1  | 2023-07-11 16:01:02,601 - INFO - hostname-check-6 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-1-1  | 2023-07-11 16:01:02,602 - INFO - hostname-check-1 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
